"p, Mpa","T, K","Cp, kJ/kg-K","rho, kg/m3","mu, muPa-s","lambda, mW/m-K","Ts, K","Qs, kJ/kg"
0.1,293.15,2.56,786.48,2436,154,355,748
0.1,313.15,2.75,769.18,1361,154,,734
0.1,333.15,3.05,750.16,831,154,,704
0.1,353.15,3.34,729.33,530,152,,667
0.1,363.15,3.44,717.94,432,151,,649
0.1,373.15,3.55,705.85,356,149,,632
1,293.15,2.56,787.14,2458,154,427,656
1,313.15,2.75,769.93,1373,154,,634
1,333.15,3.05,751.15,840,154,,598
1,353.15,3.34,730.48,536,152,,555
1,363.15,3.44,719.19,436,151,,533
1,373.15,3.55,707.29,360,149,,513
5,293.15,2.56,790.53,2554,155,505,590
5,313.15,2.75,773.74,1427,155,,565
5,333.15,3.05,755.6,881,155,,524
5,353.15,3.34,735.65,563,154,,476
5,363.15,3.44,724.88,456,153,,453
5,373.15,3.55,713.53,380,151,,430
10,293.15,2.56,794.53,2692,157,550,563
10,313.15,2.75,778.26,1498,157,,535
10,333.15,3.05,760.74,932,156,,492
10,353.15,3.34,741.6,610,155,,442
10,363.15,3.44,731.31,496,154,,418
10,373.15,3.55,720.53,411,152,,394
20,293.15,2.56,801.97,2960,160,606,535
20,313.15,2.75,786.52,1646,160,,5.05
20,333.15,3.05,770.01,1026,159,,460
20,353.15,3.34,752.21,676,159,,408
20,363.15,3.44,742.72,549,158,,383
20,373.15,3.55,732.88,455,157,,359
30,293.15,2.56,808.72,3230,163,645,518
30,313.15,2.75,793.98,1799,163,,487
30,333.15,3.05,778.31,1118,163,,441
30,353.15,3.34,761.53,740,163,,388
30,363.15,3.44,752.65,600,162,,363
30,373.15,3.55,743.48,497,161,,338